Nome do órgão;Tipo de retorno principal (Se é E-mail, Telefone, Carta ou Site);Telefones;Site;E-mails;Nome do órgão principal (no caso de uma sub-unidade);CEPdoendereço;Logradouro do endereço;Número;Bairro;Cidade;Estado;Complemento;Tipo
 PROCON MUNICIPAL DE  JOAO MONLEVADE;Site;(31)3851-5780;http://www.pjf.mg.gov.br;jm.procon@gmail.com;;35.930-672";AVENIDA  Dona Nenela; nº 146 ; Juscelino Kubitschek;JOAO MONLEVADE;MG;;PROCON
 PROCON MUNICIPAL DE  JUAZEIRO;Carta;(74) 3612-3507;;procon@juazeiro.ba.gov.br;;48903-490 ;Praça Barão do Rio Branco;1;Centro;JUAZEIRO;BA;;PROCON
 PROCON MUNICIPAL DE  LAGOA DA PRATA;Site;(37)3261-3312;http://www.lagoadaprata.mg.gov.br;procon@lagoadaprata.mg.gov.br;;35.590-000";Terminal Pedro Roberto Amorim;; Centro;LAGOA DA PRATA;MG; Sala nº 06 ;PROCON
 PROCON MUNICIPAL DE  LINHARES;Site;(27) 3372-2129 e (27)  3372-3161;;procon@linhares.es.gov.br;;29900-060;AVENIDA  Augusto Calmon;1117;Centro;LINHARES;ES;;PROCON
 PROCON MUNICIPAL DE  LUIS EDUARDO MAGALHAES;E-mail;(77)3628-9000;;diretoria.procon@pmlem.ba.gov.br;;47850-000;AVENIDA  Barreiras;705;Lot. Mimoso Doeste ;LUIS EDUARDO MAGALHAES;BA;;PROCON
 PROCON MUNICIPAL DE  LUZIANIA;Site;(61) 3906-3255;;proconluzianiagoias@gmail.com;;72800-020;AVENIDA José Vieira Primo;4;Centro;LUZIANIA;GO;;PROCON
 PROCON MUNICIPAL DE  MACEIO;SITE;(82) 3379-1850, (82) 98876-8297 WhatsApp, 0800-0824567 e (82) 98882-8326 ;http://www.maceio.al.gov.br/smg/procon-maceio/;atendimentoproconmaceio@gmail.com / diretoria.proconmaceio@gmail.com;;57020-380;RUA  DOUTOR PEDRO MONTEIRO;47;CENTRO;MACEIO;AL;2° ANDAR;PROCON
 PROCON MUNICIPAL DE  MINEIROS;Site;(64 )3661-0085(DIRETORIA) e (64) 3661-0020 (ATENDIMENTO);;;;75830-074;PRAÇA DEPUTADO JOSÉ ALVES DE ASSIS ;23;CENTRO;MINEIROS;GO;;PROCON
 PROCON MUNICIPAL DE  MORRINHOS;Site;(64) 3417-2038;;proconmorrinhos@hotmail.com;;75650-000;RUA  BARÃO DO RIO BRANCO;886;CENTRO;MORRINHOS;GO;;PROCON
 PROCON MUNICIPAL DE  NEROPOLIS;Site;(62) 3513-3298/1307;;procon@neropolis.go.gov.br;;75460-000;Praça Antônio Dutra;01;Centro;NEROPOLIS;GO;Prédio da Prefeitura;PROCON
 PROCON MUNICIPAL DE  NIQUELANDIA;Carta;(62) 3959-7075 e (62) 3959-1924;https://www.procon.go.gov.br/enderecos/municipais;;;76420-000;AVENIDA  Goiás, qd H, lt 05;S/N;Centro;NIQUELANDIA;GO;;PROCON
 PROCON MUNICIPAL DE  NOVA VENECIA;Carta;(27) 3752-9032;;procon.nv1@gmail.com;;29830-000;RUA  Alegre;259;Centro;NOVA VENECIA;ES;Casa do Empreendedor - Sala 1;PROCON
 PROCON MUNICIPAL DE  PALMEIRA DOS INDIOS;Carta;(82) 3421-4274;;;; 57600-010;Praça da Independência;S/N;Centro;PALMEIRA DOS INDIOS;AL;;PROCON
 PROCON MUNICIPAL DE  PINHEIRO;Carta;(98) 3381-1636 e (98) 3381-6398;https://www.procon.ma.gov.br/unidades-do-procon-ma/;coordpinh@vivacidadao.ma.gov.br;;65200-000;RUA  Maria Pinheiro Paiva;s/n;Bairro Santa Luzia;PINHEIRO;MA;;PROCON
 PROCON MUNICIPAL DE  PINHEIROS;Carta;(27) 3765-2242;;procon@pinheiros.es.gov.br;;29980-000;RUA  General Rondon;40;CENTRO;PINHEIROS;ES;;PROCON
 PROCON MUNICIPAL DE  PIRES DO RIO;Carta;(64) 3461-4019 e (64) 3461-4081;;procon@piresdorio.go.gov.br;;75200-000;Praça Francisco Felipe Machado;37;Centro;PIRES DO RIO;GO;Praça da Biblioteca;PROCON
 PROCON MUNICIPAL DE  PIUMA;Carta;(28) 3520-1807;;procon@piuma.es.gov.br;;29285-000;AVENIDA  Anibal de Souza Gonçalves;18;Acaica;PIUMA;ES;;PROCON
 PROCON MUNICIPAL DE  PLANALTINA DE GOIAS;Carta;(61) 3637-4510 e 3639-1940;;planaltina@procon.go.gov.br / proconplango@gmail.com;;75750-005;Praça Jurandir Camilo Boaventura;S/N;Centro;PLANALTINA DE GOIAS;GO;Ao lado da Prefeitura Municipal;PROCON
 PROCON MUNICIPAL DE  PORTO CALVO;Site;(82) 98876-8297;www.procon.al.gov.br;;;57020-030;RUA  DO LIVRAMENTO;153;CENTRO;MACEIO;AL;;PROCON
 PROCON MUNICIPAL DE  PRESIDENTE KENNEDY;Site;(28) 3535-1430;;procon@presidentekennedy.es.gov.br;;29350-000;AVENIDA  ÁTILA VIVÁCQUA;124;CENTRO;PRESIDENTE KENNEDY;ES;;PROCON
 PROCON MUNICIPAL DE  QUIRINOPOLIS;Carta;(64) 3615-9100;;proconquirinopolis@gmail.com;;75860-000;RUA  Domingos Jacinto da Luz;183;;QUIRINOPOLIS;GO;;PROCON
 PROCON MUNICIPAL DE  RIO VERDE;Site;(64) 3602-8600;https://procon.rioverde.go.gov.br/;juridicoproconrv@gmail.com;;75905-623;RUA  COSTA GOMES;829;CENTRO;RIO VERDE;GO;;PROCON
 PROCON MUNICIPAL DE  SALVADOR;Site;(71) 3116-8550, (71) 3116-5785 e (71) 3116-8520;www.bahia.ba.gov.br/sjdh/procon;adriana.menezes@sjdhds.ba.gov.br / raiana.fonseca@sjdhds.ba.gov.br;;40060-350;RUA  CARLOS  Gomes;246;Dois de Julho;SALVADOR;BA;;PROCON
 PROCON MUNICIPAL DE  SANTA LUZIA DO PARUA;Carta;;;coord.slp@vivacidadão.ma.gov.br;;;AVENIDA Professor João Morais;1261;CENTRO;SANTA LUZIA DO PARUA;MA;;PROCON
 PROCON MUNICIPAL DE  SANTANA DO IPANEMA;Carta;(82) 3621-1706;;cecilia.wanderley@procon.al.gov.br;;57500-000;RUA  Gilmar Pereira Queiroz;600;Centro;SANTANA DO IPANEMA;AL;;PROCON
 PROCON MUNICIPAL DE  SANTO ANTONIO DO DESCOBERTO;Site; (61) 3606-3325;;santoantonio@procon.go.gov.br;;72900-000;QD 57 LT 12 - LOJA 01;S/N;CENTRO;SANTO ANTÔNIO DO DESCOBERTO;GO;;PROCON
 PROCON MUNICIPAL DE  SAO GABRIEL DA PALHA;Site;(27) 3726-1366 - Ramal 236;;procon@saogabriel.es.gov.br;;29780-000;Praça Vicente Glazar;159;Centro ;SAO GABRIEL DA PALHA;ES;Gloria ;PROCON
 PROCON MUNICIPAL DE  SAO JOAO DEL REI;Carta;(32) 3379-1859;;procon@saojoaodelrei.mg.gov.br;;36305-146;AVENIDA  Josué de Queiroz;910;Matozinhos;SAO JOAO DEL REI;MG;;PROCON
 PROCON MUNICIPAL DE  SAO MATEUS;Site;(27) 3763-1069, (27) 3767-8971 e (27) 3767-8936;;procon@saomateus.es.gov.br;;29930-340;RUA  Barão de Aimorés;90;Centro;SAO MATEUS;ES;;PROCON
 PROCON MUNICIPAL DE  SAO MIGUEL DO ARAGUAIA;E-mail;(62) 3977-7100;;procon@saomiguel.sc.gov.br;; 76590-000;AVENIDA  José Pereira do Nascimento;22;St. Xavante;SAO MIGUEL DO ARAGUAIA;GO;;PROCON
 PROCON MUNICIPAL DE  SAO MIGUEL DOS CAMPOS;Carta;(82) 3271-1436;;cecilia.wanderley@procon.al.gov.br;;57240-000;RUA  Barão de Jequiá;114;Centro;SAO MIGUEL DOS CAMPOS;AL;;PROCON
 PROCON MUNICIPAL DE  SAO SEBASTIADO DO PARAISO;Site;(35)3539-1092;http://www.ssparaiso.mg.gov.br;procon@ssparaiso.mg.gov.br;;37.950-000   ;RUA  Pimenta de Pádua; nº 1.237 ;Centro;SAO SEBASTIAO DO PARAISO;MG;;PROCON
 PROCON MUNICIPAL DE  SENADOR CANEDO;Site;(62) 3275-9989;;procon@senadorcanedo.go.gov.br;;75250-970;RUA  ITAPEVA;S/N;CENTRO;SENADOR;GO;GALERIA MC  QD 36  LT 17/18  SALA 02 ;PROCON
 PROCON MUNICIPAL DE  SETE LAGOAS;Site;(31)3772-5140;http://www.setelagoas.mg.gov.br;procon@setelagoas.mg.gov.br;;35.700-034;RUA  Cõnego Raimundo; nº 32 ; Centro;SETE LAGOAS;MG;;PROCON
 PROCON MUNICIPAL DE  TEOFILO OTONI;Site;(33)3529-2222;www.teofilootoni.mg.gov.br;"procon@teofilootoni.mg.gov.br;;39.800-019";RUA  Engenheiro Antunes; nº 172 ; Centro;TEOFILO OTONI;MG;;PROCON
 PROCON MUNICIPAL DE  TRES CORACOES;Site;(35) 3691-1112 e (35) 3691-1013;https://www.trescoracoes.mg.gov.br/index.php/utilidade-publica/5242-procon;procon3c@gmail.com;;37410-125;RUA  TABELIÃO CASEMOR;57;CENTRO;TRES CORACOES;MG;ANTIGO PRÉDIO DA PREFEITURA ;PROCON
 PROCON MUNICIPAL DE  TRINDADE;Site;(62) 3506–7098;;procon@trindade.go.gov.br;;75388-708;RUA  Moisés Batista;172;Centro;TRINDADE;GO;;PROCON
 PROCON MUNICIPAL DE  Uberaba;Site;(34) 3334-9100;;atendimento.procon@gmail.com / procon@uberaba.mg.gov.br;;38015-000;AVENIDA  LEOPOLDINO DE OLIVEIRA;2976;ESTADOS UNIDOS;UBERABA;MG;;PROCON
 PROCON MUNICIPAL DE  URUACU;Site;62) 3357-5100;;proconuruacu@hotmail.com;;76400-000;RUA  Adelino Fernandes de Carvalho;59;Centro;URUACU;GO;;PROCON
 PROCON MUNICIPAL DE  VALPARAISO DE GOIAS;Site;(61) 3629-4482;;atendimentoproconvalparaiso@gmail.com;;72870-055;RUA  03;;PARQUE RIO BRANCO ;VALPARAISO DE GOIAS;GO;QUADRA 07 - LOTE B - GALPÃO 4 ;PROCON
 PROCON MUNICIPAL DE  VARGINHA;Site;(34)3291-1600 / 1625;www.uberlandia.mg.gov.br;procon@uberlandia.mg.gov.br;;38.400-706";AVENIDA  Afonso Pena; nº 1.612; Centro ;UBERLANDIA;MG;;PROCON
 PROCON MUNICIPAL DE  VIANA;Site;(27) 3343-3294 e (27) 3366-3137;http://www.viana.es.gov.br/site/;procon@viana.es.gov.br;;29136-176;AVENIDA  GUARAPARI;1;AREINHA;VIANA;ES;;PROCON
 PROCON MUNICIPAL DE  VIANA;Carta;(98) 3351-0023;https://www.procon.ma.gov.br/unidades-do-procon-ma/;coordviana@vivacidadao.ma.gov.br;;65215-000;RUA  Coronel Campelo;380;Centro;VIANA;MA;;PROCON
 PROCON MUNICIPAL DE  VICOSA;Carta;;http://www.procon.al.gov.br;;;57700-000;RUA  Mota Lima;S/N;Centro;VICOSA;AL;;PROCON
 PROCON MUNICIPAL DE  VILA VELHA;Site;(27) 3388-4138;;procon@vilavelha.es.gov.br ;;29100-301;RUA  SETE DE SETEMBRO;95;CENTRO;VILA VELHA;ES;;PROCON
 PROCON MUNICIPAL DE  VITORIA;Site;(27) 3382-5545;;procon@vitoria.es.gov.br;;29047-495;AVENIDA  MARUIPE;2544;MARUIPE;VITORIA;ES;;PROCON
 PROCON MUNICIPAL DE  VITORIA DA CONQUISTA;Site;(77) 3429-7850;http://www.pmvc.ba.gov.br/;;;45000-590;PRAÇA VIRGÍLIO FERRAZ;86;CENTRO;VITORIA DA CONQUISTA;BA;;PROCON
 PROCON MUNICIPAL DE ABELARDO LUZ;Site;(49) 3445-4550;https://www.procon.sc.gov.br/;procon@abelardoluz.sc.gov.br ;;89830-000;AVENIDA  PRESIDENTE CASTELO BRANCO;1605;CENTRO;ABELARDO LUZ;SC;;PROCON
 PROCON MUNICIPAL DE ABREU E LIMA  ;Carta;(81) 98258-7216;;proconabreuelima@hotmail.com;;53510-080;RUA  Nossa Senhora Aparecida;10;Centro;ABREU E LIMA;PE;;PROCON
 PROCON MUNICIPAL DE ADAMANTINA;Carta;(18)3521-4544;www.adamantina.sp.gov.br;procon@adamantina.sp.gov.br;;17800000;AVENIDA  da Saudade;1072;Vila Endo;ADAMANTINA;SP;;PROCON
 PROCON MUNICIPAL DE AGUA DOCE;Carta;(49) 3524-0783;https://www.procon.sc.gov.br/index.php/artigos-procons-municipais/251-procons;procon@aguadoce.sc.gov.br;;89654-000;RUA  Frei Silvano;16;Centro;AGUA DOCE;SC;;PROCON
 PROCON MUNICIPAL DE AGUAI;Carta;(19) 3653-7100 e (19) 3653-7132;www.aguai.sp.gov.br;procon@aguai.sp.gov.br;;13860000;AVENIDA  Olinda Silveira Cruz Braga;215;Parque Interlagos;AGUAI;SP;;PROCON
 PROCON MUNICIPAL DE AGUAS DA PRATA;Carta;(19)  3642-2160;www.aguasdaprata.sp.gov.br;procon.prata@gmail.com;;13890000;RUA  Washington Luís;485;Centro;AGUAS DA PRATA;SP;;PROCON
 PROCON MUNICIPAL DE AGUDOS;Carta;(14) 3262-7427;www.agudos.sp.gov.br;procon@agudos.sp.gov.br / procon.agudos@gmail.com;;17120000;RUA  Décio Antônio Balestra;236;Centro;AGUDOS;SP;;PROCON
 PROCON MUNICIPAL DE ALEGRETE;Carta;(55) 3961-1700 e (55) 3961-1053;http://www.alegrete.rs.gov.br;proconalegrete@gmail.com;;97.542-230;Praça Getúlio Vargas;409;Centro;ALEGRETE;RS;;PROCON
 PROCON MUNICIPAL DE ALEXANDRIA;Carta;(84) 3381-5537;;;;59022-250;RUA  Dom José Tomáz;345;Centro;ALEXANDRIA;RN;;PROCON
 PROCON MUNICIPAL DE ALMIRANTE TAMANDARE;Site;(41) 3699-8788 e (41) 3699-8789;;procon@tamandare.pr.gov.br;;83504-440;RUA  Maurício Rosemann;15;Cachoeira ;ALMIRANTE TAMANDARE;PR;Sede da Subprefeitura;PROCON
 PROCON MUNICIPAL DE ALTA FLORESTA;Carta;(66) 3903-1036 e (66) 3903-1040;;proconaf@gmail.com;;78580-000 ;AVENIDA  ARIOSTO DA RIVA;3113;CENTRO; ALTA FLORESTA;MT;;PROCON
 PROCON MUNICIPAL DE ALTINOPOLIS;Carta;(16) 3665-9551;www.altinopolis.sp.gov.br;procon@altinopolis.sp.gov.br;;14350000;RUA  Saudade;357;Centro;ALTINOPOLIS;SP;;PROCON
 PROCON MUNICIPAL DE ALTO DO ROGRIGUES;Carta;(84) 3523-2212, (84) 3523-2377 e (84) 3523-2765;;proconaltodorodrigues@rn.gov.br / operacoesprocon@rn.gov.br;;59507-000;AVENIDA  Angelo Varela;1023;Centro;ANTO DO RODRIGUES;RN;;PROCON
 PROCON MUNICIPAL DE ALVARES MACHADO;Carta;(18) 3273-3550;www.alvaresmachado.sp.gov.br;proconalvaresmachado@gmail.com / procon@alvaresmachado.sp.gov.br;;19160000;AVENIDA  das Américas Centro;647;Centro;ALVARES MACHADO;SP;Dentro do Ganha Tempo;PROCON
 PROCON MUNICIPAL DE AMERICANA;Site;(19) 3475-9008;www.procon.americana.sp.gov.br;procon@americana.sp.gov.br;;13465901;AVENIDA  Brasil;85;Centro;AMERICANA;SP;;PROCON
 PROCON MUNICIPAL DE AMPARO;Telefone ;(19) 3817-9300;;procon@amparo.sp.gov.br;;13900-400;AVENIDA  Bernardino de Campos ;705;Centro ;AMPARO;SP;;PROCON
 PROCON MUNICIPAL DE ANDRADINA;Site;(18) 3722-8506;www.andradina.sp.gov.br;procon.andradina@gmail.com;;16901010;RUA  13 de Maio;1182;Centro;ANDRADINA;SP;;PROCON
 PROCON MUNICIPAL DE ANGATUBA;Carta;(15) 3355-0413;www.angatuba.sp.gov.br;procon@angatuba.sp.gov.br;;18240000;RUA  João Lopes Filho;120;Centro;ANGATUBA;SP;Paço Municipal;PROCON
 PROCON MUNICIPAL DE ANGRA DOS REIS;Site;(24) 3377-8606;http://www.angra.rj.gov.br/;ouvidoria@angra.rj.gov.br;;23900-901;RUA  da Conceição;255;Centro;ANGRA DOS REIS;RJ;Prédio da Câmara Municipal;PROCON
 PROCON MUNICIPAL DE ANTO ARAGUAIA;Carta;(66) 3481-1709;;procon.aia@hotmail.com;;78780-000;AVENIDA  CARLOS  Hugueney;803;Centro;ALTO ARAGUAIA;MT;;PROCON
 PROCON MUNICIPAL DE ANTONIO PRADO;Carta;(54) 3293-5644;http://www.antonioprado.com.br;procon@antonioprado.com.br;;95.250-000;Travessa Irmão Irineu;27;Centro;ANTONIO PRADO;RS;;PROCON
 PROCON MUNICIPAL DE APARECIDA;Carta;(12) 3104-4021;www.aparecida.sp.gov.br;procon@aparecida.sp.gov.br / proconaparecida@bol.com.br;;12570000;RUA  Professor José Borges Ribeiro;167;Centro;APARECIDA;SP;;PROCON
 PROCON MUNICIPAL DE APIAI;Carta;(15) 3552-0207;www.apiai.sp.gov.br;proconapiai@hotmail.com / e_robertomartinez@hotmail.com;;18320000;RUA  Joaquim Elisário Santos;123;Centro;APIAI;SP;;PROCON
 PROCON MUNICIPAL DE APODI;Carta;(84) 3273-3341;;proconsaojosemipibu@rn.gov.br;;59025-003;Praça Capitao Jose da Penha;31;Centro;SAO JOSE DO DO MIPIBU;RN;Central do Cidadão;PROCON
 PROCON MUNICIPAL DE APUCARANA;Site;(43) 3425-2034;http://apucarana.pr.gov.br;procon@apucarana.pr.gov.br;;86800-230;AVENIDA  Corifeu de Azevedo Marques;424;Centro;APUCARANA;PR;Sala 1;PROCON
 PROCON MUNICIPAL DE ARACARIGUAMA;Carta;(11) 4136-4900 e (11) 4136-4920;www.araçariguama.sp.gov.br;procon@aracariguama.sp.gov.br;;18147000;RUA  Santa Cruz;217;Centro;ARACARIGUAMA;SP;Casa 3;PROCON
 PROCON MUNICIPAL DE ARACATUBA;Telefone ;(18) 3636-2277;;procon@aracatuba.sp.gov.br;;16010-330;RUA  Conselheiro Oscár Rodrigues Alves;295;Centro;ARACATUBA;SP;;PROCON
 PROCON MUNICIPAL DE ARACOIABA DA SERRA;Carta;(15) 3281-2292;www.aracoiaba.sp.gov.br;espacocidadao@aracoiaba.sp.gov.br;;18190000;RUA  Pedro Nolasco Vieira;400;Centro;ARACOIABA DA SERRA;SP;Box 3 - Rodoviaria;PROCON
 PROCON MUNICIPAL DE ARAGUAINA;Carta;(63) 3414-8333, (63) 3421-1027 e (67) 3421-4048;;araguaina@procon.to.gov.br;;77803-100;AVENIDA  Paranaíba;1743;Centro;ARAGUAINA;TO;Sala 2;PROCON
 PROCON MUNICIPAL DE ARAPONGAS;Telefone ;(43) 3902-1173;;procon@arapongas.pr.gov.br;;86700-065;RUA  Tico Tico;877;Vila Nova;ARAPONGAS;PR;;PROCON
 PROCON MUNICIPAL DE ARAPUTANGA;Carta;(65) 3261-2773;http://www.procon.mt.gov.br/-/5227323-araputanga;procon@araputanga.mt.gov.br;;78260-000;RUA  CARLOS  Luz;792;Centro;ARAPUTANGA;MT;;PROCON
 PROCON MUNICIPAL DE ARAQUARI;Site;(47) 98477-0047;https://www.procon.sc.gov.br/;gerencia.procon@araquari.sc.gov.br;;89245-000;RUA  CORONEL ALMEIDA;325;CENTRO;ARAQUARI;SC;SALA 10 - ANEXO A AMPE;PROCON
 PROCON MUNICIPAL DE ARAQUARI - ITINGA;Site;(47) 3305-0112;https://www.procon.sc.gov.br/;procon@araquari.sc.gov.br; PROCON MUNICIPAL DE ARAQUARI;89245-000;RODOVIA A 280-A;S/N;ITINGA;ARAQUARI;SC;ANEXO A SUBPREFEITURA ITINGA;PROCON
 PROCON MUNICIPAL DE ARAQUARI - ITAPOCU;Site;(47) 3452-0553;https://www.procon.sc.gov.br/;gerencia.procon@araquari.sc.gov.br; PROCON MUNICIPAL DE ARAQUARI;89245-000;RUA  CORONEL ALMEIDA;714;ITAPOCU;ARAQUARI;SC;ANEXO A SUBPREFEITURA ITAPOCU;PROCON
 PROCON MUNICIPAL DE ARARANGUA;Carta;(48) 3521-0945;https://www.procon.sc.gov.br/index.php/artigos-procons-municipais;PROCON@ARARANGUA.SC.GOV.BR ;;88900-009;RUA  Dr. Virgulino de Queiroz;200;;ARARANGUA;SC;Anexo à Prefeitura Municipal de Araranguá;PROCON
 PROCON MUNICIPAL DE ARARAQUARA;Telefone ;(16) 3301-3131;;procon@araraquara.sp.gov.br;;14802-378;RUA   Professor Dorival de Oliveira;164;Vila Joao Godoi;ARARAQUARA;SP;;PROCON
 PROCON MUNICIPAL DE ARARAS;Telefone ;(19) 3542-8996;;proconararas@araras.sp.gov.br;;13601-020;AVENIDA  Zurita;681;Jardim Belvedere;ARARAS;SP;;PROCON
 PROCON MUNICIPAL DE ARARUAMA;Carta;(22) 2665-8000;;proconararuama@hotmail.com;;28970-000;AVENIDA  John Kennedy;82;CENTRO;ARARUAMA;RJ;Sala 23;PROCON
 PROCON MUNICIPAL DE ARCOVERDE                           ;Carta;(87) 3821-1317 e (87) 3821-1250;;procon.arcoverde@hotmail.com arcoverde@procon.pe.gov.br;;56506-100;AVENIDA Cel. Antônio Japiassú;711-761;Centro;ARCOVERDE;PE;;PROCON
 PROCON MUNICIPAL DE ARMACAO DE BUZIOS;E-mail;(22) 2633-6000;https://buzios.rj.gov.br/;procon@buzios.rj.gov.br ;;28950-000;Estr. da Usina Velha;600;Village de Búzios;BUZIOS;RJ;;PROCON
 PROCON MUNICIPAL DE ARMAZEM;Site;(48) 3645-0222;;procon@armazem.sc.gov.br;;88740-000;Praça 19 de Dezembro ;130;Centro;ARMAZEM;SC;;PROCON
 PROCON MUNICIPAL DE ARRAIAL DO CABO;Carta;(22) 2622-1747 e (22) 2622-1417;https://www.arraial.rj.gov.br/portal/secretarias/9/secretaria-de-protecao-e-defesa-do-consumidor-procon;procon@arraial.rj.gov.br;;28930-000;AVENIDA Governador Leonel de Moura Brizola;s/n;Centro;ARRAIAL DO CABO;RJ;;PROCON
 PROCON MUNICIPAL DE ARTUR NOGUEIRA;Carta;(19)  3827-9700 ramal 9810;www.procon.sp.gov.br;procon@arturnogueira.sp.gov.br;;13160000;RUA  Nossa Senhora das Dores;629;Centro;ARTUR NOGUEIRA;SP;;PROCON
 PROCON MUNICIPAL DE ASSAI;Carta;(43) 3262-4004;http://www.assai.pr.gov.br;assaipr@procon.pr.gov.br;;86220-000;RUA  Equador;427;Centro;ASSAI;PR;;PROCON
 PROCON MUNICIPAL DE ASSIS;Carta;(18) 3322.3633 / 3324-2976;www.procon.sp.gov.br;proconassis@assis.sp.gov.br;;19802082;AVENIDA  Armando Sales de Oliveira;1170;Vila Moraes Pinto;ASSIS;SP;;PROCON
 PROCON MUNICIPAL DE ASSIS CHATEAUBRIAND;Carta;(44) 3528-8455;http://www.assischateaubriand.pr.gov.br;procon@assischateaubriand.pr.gov.br;;85935-000;AVENIDA  Cívica;99;Centro;ASSIS CHATEAUBRIAND;PR;;PROCON
 PROCON MUNICIPAL DE ASSU;E-mail;(84) 3232-6771;;proconassu@rn.gov.br;;59650-000 ;AVENIDA  Senador João Câmar;S/N;;ASSU;RN;;PROCON
 PROCON MUNICIPAL DE ASTORGA;Carta;(44) 3234-6469;http://astorga.pr.gov.br;procon@astorga.pr.gov.br;;86730-000;AVENIDA  Presidente Wenceslau Braz;855;Centro;ASTORGA;PR;;PROCON
 PROCON MUNICIPAL DE ATIBAIA;Carta;(11) 4418-7800, (11) 4414-1920 e (11) 4414-1921;www.atibaia.sp.gov.br/ola;comdecon@atibaia.sp.gov.br;;12940-284;AVENIDA  Brigadeiro José Vicente Faria Lima;345;Centro;ATIBAIA;SP;;PROCON
 PROCON MUNICIPAL DE AVARE;Telefone ;(14) 3732-8263;;proconmunicipal@avare.sp.gov.br;;18705-120;RUA  Bahia ;1580;Centro ;AVARE;SP;;PROCON
 PROCON MUNICIPAL DE BADY BASSITT;Carta;(17) 3258-4666 ramal 208;www.procon.sp.gov.br;procon@badybassitt.sp.gov.br / raphael.procon@hotmail.com;;15115000;AVENIDA  Marginal José Marques de Mendonça;1051;Centro;BADY BASSITT;SP;;PROCON
 PROCON MUNICIPAL DE BAGE;Site;(53) 3242-1294;http://www.bage.rs.gov.br;procon@bage.rs.gov.br;;96.400-000;RUA  Marechal Floriano;1.463;Centro;BAGE;RS;Em frente ao Senac;PROCON
 PROCON MUNICIPAL DE BALNEARIO BARRA DO SUL;Carta;(47) 3448-3327 e (47) 3448-2062;https://www.procon.sc.gov.br/index.php/artigos-procons-municipais/251-procons;procon@balneariobarradosul.sc.gov.br;;89247-000;AVENIDA  Paulista;81;Centro;BARRA DO SUL;SC;;PROCON
 PROCON MUNICIPAL DE BALNEARIO CAMBORIU;Site;(47) 3367-0619, (47) 3366-6144 e (47) 3268-6707;www.bcprocon.blogspot.com;procon@balneariocamboriu.sc.gov.br;;88330-466;RUA  2000;856;;BALNEARIO CAMBORIU;SC;;PROCON
 PROCON MUNICIPAL DE BALNEARIO PINHAL;Carta;(51) 3682-2009;http://balneariopinhal.rs.gov.br;"procon.balneariopinhalrs@via-rs.net;;95.599-000;AVENIDA  Itália;3.074;Centro;BALNEARIO PINHAL;RS;;PROCON
 PROCON MUNICIPAL DE BANDEIRANTES;Carta;(43) 3542-4525  Ramal 206;http://www.bandeirantes.pr.gov.br;bandeirantespr@procon.pr.gov.br;;86360-000;RUA  Pref. Moacyr Castanho;1391;Centro;BANDEIRANTES;PR;;PROCON
 PROCON MUNICIPAL DE BARCARENA;Site;;;proconbarcarena@gmail.com;; 68445-000 ;RUA  Lameira Bittencourt;128;Centro ;BARBACENA;PA;;PROCON
 PROCON MUNICIPAL DE BARIRI;Carta;(14) 3662-7666 e (14) 3662-7405;www.procon.sp.gov.br;procon@bariri.sp.gov.br;;17250000;RUA  Camilo Resegue;68;Centro;BARIRI;SP;Sala 3;PROCON
 PROCON MUNICIPAL DE BARRA BONITA;Carta;(14) 3641-5001 e (14) 3642-3590 ;www.procon.sp.gov.br;procon@barrabonita.sp.gov.br;;17340000;RUA  Nove de Julho;149;Vila Nova;BARRA BONITA;SP;;PROCON
 PROCON MUNICIPAL DE BARRA DO GARCA;Site;(66) 3401-1314;;procon@barradogarcas.mt.gov.br;;78600-907;RUA  CARAJÁS;485;CENTRO;BARRA DO GARCAS;MT;;PROCON
 PROCON MUNICIPAL DE BARRA DO PIRAI;Site;(24) 2430-2284;;;;27135-340;RUA  SEN. ARLÍNDO RODRIGUES;43;CENTRO;BARRA DO PIRAI;RJ;;PROCON
 PROCON MUNICIPAL DE BARRA MANSA;Carta;(24) 2106-3461;;consumidor@barramansa.rj.gov.br;;27310-400;RUA  Luis Ponce;263;CENTRO ;BARRA MANSA;RJ;;PROCON
 PROCON MUNICIPAL DE BARRA VELHA;Site;(47) 3456-0152;https://www.procon.sc.gov.br/;procon@barravelha.sc.gov.br;;88390-000;AVENIDA  PREFEITO THIAGO AGUIAR;599;ICARAÍ;BARRA VELHA;SC;;PROCON
 PROCON MUNICIPAL DE BARREIROS ;Carta;(81) 3675-1377;;barreiros@procon.pe.gov.br;; 55560-000;Praça do Rosário;S/N;Centro;BARREIROS;PE;Predio do Ministerio Publico;PROCON
 PROCON MUNICIPAL DE BARRETOS;Site;(17) 3322-0444, (17) 3323-6573 e (17) 3325-4891;www.procon.barretos.sp.gov.br;joana_soleide@hotmail.com / belsantos.procon@barretos.sp.gov.br / atendimentoprocon@barretos.sp.gov.br / proconbarretos@gmail.com.br;;14780320;AVENIDA  23;720;Centro;BARRETOS;SP;Ruas 18 X 20;PROCON
